companyId,companyFullName,companyLabelList,companyShortName,companySize,businessZones
44807,徙木金融信息服务(上海)有限公司,"['技能培训', '年底双薪', '股票期权', '带薪年假']",徙木金融,50-150人,"['长征', '金沙江路', '梅川路']"
37191,上海树维信息科技有限公司,"['绩效奖金', '带薪年假', '定期体检', '弹性工作']",树维,150-500人,"['周家嘴路', '长阳路', '黄兴公园']"
26754,上海宝尊电子商务有限公司,"['年底双薪', '节日礼物', '技能培训', '绩效奖金']",宝尊电商,2000人以上,"['汶水路', '共和新路', '彭浦新村']"
46782,上海陶石投资管理合伙企业（有限合伙）,"['技能培训', '节日礼物', '团队和谐', '绩效奖金']",陶石资本,少于15人,"['平凉路', '东外滩', '江浦路']"
148603,上海淇毓信息科技有限公司,,360金融,150-500人,
7656,数库（上海）科技有限公司,"['技能培训', '节日礼物', '带薪年假', '周末双休']",数库(上海)科技有限公司,150-500人,
67086,家乐福（中国）管理咨询服务有限公司,"['年底双薪', '带薪年假', '节日礼物', '管理规范']",家乐福（中国）,500-2000人,"['中山北路', '光新', '石泉路']"
84599,上海宜驾网络科技有限公司,"['年底双薪', '带薪年假', '绩效奖金', '岗位晋升']",宜驾网络,50-150人,"['交通大学', '徐家汇', '淮海西路']"
151935,上海禹卓金融信息服务有限公司,"['专项奖金', '股票期权', '弹性工作', '扁平管理']",乐活钱包,15-50人,['长寿路']
88646,上海溪田信息技术有限公司,"['免费班车', '股票期权', '带薪年假', '绩效奖金']",ihefe,50-150人,
17407,中科软科技股份有限公司,"['节日礼物', '绩效奖金', '定期体检', '五险一金']",中科软,2000人以上,
112100,上海派兰数据科技有限公司,"['带薪年假', '午餐补助', '领导好', '扁平管理']",派兰数据,少于15人,
113198,上海沃星信息技术有限公司,"['薪酬任性', '股票期权', '队友牛逼', '老板给力']",一起美,15-50人,
129422,上海新趋势金融信息服务有限公司,,新趋势集团,500-2000人,
116305,得道车联网络科技（上海）有限公司,,得道车联,2000人以上,"['交通大学', '徐家汇', '万体馆']"
127443,上海方括市场营销策划有限公司,"['定期体检', '管理规范', '节日礼物', '弹性工作']",方括研究,15-50人,"['新闸路', '江宁路', '北京西路']"
79624,上海环安软件有限公司,"['年底双薪', '带薪年假', '绩效奖金', '管理规范']",Gensuite China,150-500人,
37695,上海钱智金融信息服务有限公司,"['年底双薪', '管理规范', '五险一金', '员工旅游']",东方融资网,500-2000人,"['华师大', '长风公园', '金沙江路']"
120213,上海仕丰软件技术有限公司,,上海仕丰,50-150人,"['新华医院', '控江路', '江浦路']"
75604,弘则弥道（上海）投资咨询有限公司,"['节日礼物', '股票期权', '带薪年假', '年度旅游']",弘则研究,15-50人,
97789,永辉超市股份有限公司,"['股票期权', '专项奖金', '带薪年假', '扁平管理']",永辉超市股份有限公司,2000人以上,"['南京西路', '静安寺', '北京西路']"
108593,上海硕丰投资管理有限公司,,硕丰金融,50-150人,['张江']
75569,上海易跋信息科技有限公司,"['年底双薪', '带薪年假', '股票期权', '领导好']",上海易跋,15-50人,['张江']
3422,上海流利说信息技术有限公司,"['弹性工作', '五险一金', '年度旅游', '年底双薪']",英语流利说,150-500人,
57682,上海爱可生信息技术股份有限公司,"['技能培训', '带薪年假', '绩效奖金', '岗位晋升']",爱可生,50-150人,"['漕宝路', '万源城', '东兰路']"
114582,上海车赢信息技术有限公司,"['专项奖金', '股票期权', '带薪年假', '年度旅游']",上海车赢,15-50人,"['五里桥', '鲁班路', '打浦桥']"
25445,上海畅圣计算机有限公司,"['领导好', '扁平管理', '绩效奖金', '带薪年假']",畅圣科技,50-150人,"['同乐坊', '江宁路', '康定路']"
23348,上海中通吉网络技术有限公司,"['绩效奖金', '五险一金', '带薪年假', '免费班车']",ZTO-express,2000人以上,
5330,上海齐家网信息科技股份有限公司,"['午餐补助', '带薪年假', '绩效奖金', '交通补助']",齐家网,2000人以上,"['丰庄', '真新新村', '江桥']"
102836,上海嘉龙日日煮信息科技有限公司,"['股票期权', '带薪年假', '绩效奖金', '岗位晋升']",DayDayCook,50-150人,"['徐家汇', '肇嘉浜路', '万体馆']"
116410,上海孚厘金融信息服务有限公司,,磁金融,50-150人,"['田林', '漕河泾', '虹桥']"
42833,嘉兴汇保网络科技有限公司,"['带薪年假', '扁平管理', '五险一金', '股票期权']",大特保,50-150人,"['斜土路', '世博园区', '日晖']"
40103,上海易果电子商务有限公司,"['节日礼物', '技能培训', '年底双薪', '绩效奖金']",易果生鲜,2000人以上,
45315,快钱支付清算信息有限公司,"['技能培训', '节日礼物', '专项奖金', '带薪年假']",快钱,500-2000人,"['塘桥', '东方路', '花木']"
126031,上海画龙信息科技有限公司,"['年底四薪', '股票期权', '带薪年假', '五险一金']",Datatist,15-50人,
51401,上海旗计智能科技有限公司,"['年底双薪', '节日礼物', '技能培训', '绩效奖金']",旗计智能,2000人以上,
129806,上海都纳信息科技有限公司,,都纳信息科技,50-150人,"['天目西路', '江宁路']"
19957,康伟实软件（上海）有限公司,"['年度旅游', '岗位晋升', '五险一金', '弹性工作']",CSC科技,2000人以上,"['上海电视台', '南京西路']"
17291,上海聚力传媒技术有限公司,"['技能培训', '绩效奖金', '岗位晋升', '扁平管理']",PPTV聚力,500-2000人,
18971,深圳传音控股有限公司,"['带薪年假', '午餐补助', '年底双薪', '年终分红']",传音控股,2000人以上,['张江']
30137,上海邮乐网络技术有限公司,"['年底双薪', '节日礼物', '绩效奖金', '岗位晋升']",邮乐网,150-500人,"['金杨新村', '杨浦大桥', '洋泾']"
133177,贵州数据宝网络科技有限公司,"['技能培训', '节日福利', '岗位晋升', '绩效奖金']",数据宝,50-150人,
17665,和讯信息科技有限公司,"['带薪年假', '管理规范', '五险一金', '节日福利']",和讯网,150-500人,
62541,美囤妈妈（上海）电子商务有限公司,"['技能培训', '绩效奖金', '岗位晋升', '扁平管理']",美囤,150-500人,"['五角场', '大学区', '长海医院']"
30794,上海连享商务咨询有限公司,"['股票期权', '岗位晋升', '扁平管理', '领导好']",连咖啡,150-500人,"['万源城', '东兰路', '漕宝路']"
81799,上汽阿里互联网汽车公司,"['专项奖金', '带薪年假', '绩效奖金', '岗位晋升']",上汽阿里,150-500人,"['徐家汇', '交通大学']"
47049,卡得万利商业保理（上海）有限公司,"['年底双薪', '银商合作伙伴', '发展迅猛', '带薪年假']",卡得万利,150-500人,"['东方路', '塘桥', '南浦大桥']"
143671,上海荣恋进出口贸易有限公司,,上海荣恋,150-500人,"['外滩', '东外滩', '北京东路']"
41258,国泰君安证券股份有限公司,"['技能培训', '年底双薪', '免费班车', '带薪年假']",国泰君安证券股份有限公司,2000人以上,"['东外滩', '陆家嘴', '外滩']"
114788,上海天正智能数据服务有限公司,"['定期体检', '年度旅游', '午餐补助', '带薪年假']",天正软件,500-2000人,
84717,上海东方明珠新媒体股份有限公司,"['技能培训', '带薪年假', '领导好', '美女多']",东方明珠新媒体,500-2000人,
73604,深圳萨摩耶互联网金融服务有限公司,"['技能培训', '年度旅游', '岗位晋升', '五险一金']",萨摩耶金服,150-500人,"['三林', '东明路', '六里']"
