positionId,city,companyId,firstType,secondType,education,industryField,positionAdvantage,positionName,positionLables,salary,workYear
1934169,上海,24995,设计,用户研究,本科,"移动互联网,企业服务",一日美味四餐，氛围轻松~团队和谐~,需求分析师,"['分析师', '需求分析']",6k-10k,1-3年
2480010,上海,57253,技术,DBA,大专,"移动互联网,O2O",老板好，团队嗨，吃喝多多，发展有保证,数据分析师（BI）,"['分析师', '数据分析', '数据', 'BI']",6k-12k,1-3年
1961977,上海,128072,技术,后端开发,本科,"移动互联网,电子商务",公司前景好团队氛围好老板是暖男五险一金,企业大数据挖掘/分析工程师,"['大数据', '数据挖掘', '数据', '算法']",15k-25k,1-3年
2283913,上海,80305,技术,DBA,大专,其他,金融项目，大数据,数据开发,"['大数据', '数据库', '数据']",10k-18k,1-3年
2320775,上海,64791,技术,DBA,本科,金融,股东背景强 技术牛人多 福利齐全,大数据开发工程师,"['大数据', '数据库', '数据']",15k-20k,1-3年
2320538,上海,52315,市场与销售,市场/营销,本科,"数据服务,文化娱乐",有意义的产品 扁平化管理 硅谷式办公环境,Video++战略分析师,['分析师'],9k-15k,1-3年
2468230,上海,34683,市场与销售,市场/营销,本科,金融,"晋升空间大,氛围轻松,弹性工作,免费零食",数据分析师（信贷策略方向）,"['分析师', '信贷', '数据分析', '策略', '数据']",7k-12k,1-3年
2434451,上海,21980,技术,数据开发,本科,"移动互联网,数据服务",上市公司，发展空间大,大数据开发工程师-上海,"['大数据', '数据挖掘', '数据库', '数据']",9k-15k,1-3年
2467835,上海,39394,技术,后端开发,本科,移动互联网,"行业大数据,成长新业务,发展空间大,开放的氛围",大数据开发工程师,"['大数据', '后端开发', '数据库', '数据']",10k-15k,1-3年
1309159,上海,14033,技术,DBA,不限,"广告营销,数据服务",提升空间大 培训体系完善 数据接触面广,数据分析师--SQL,"['分析师', '数据分析', '数据']",7k-12k,1-3年
2214151,上海,40092,技术,数据开发,本科,"移动互联网,金融","期权,扁平化,核心部门,私厨",数据科学家,"['数据挖掘', '数据']",15k-25k,1-3年
2572898,上海,56723,开发/测试/运维类,前端开发/移动开发,本科,移动互联网,大数据行业,大数据研发工程师,"['中级', '大数据', 'hadoop', '数据']",8k-10k,1-3年
2010133,上海,68711,职能,行政,大专,"企业服务,广告营销",季度晋升空间、国内外旅游,数据专员,['数据'],3k-5k,1年以下
2221706,上海,27476,技术,软件开发,本科,"移动互联网,电子商务",五险一金 节日福利 绩效奖金 提供班车,BI数据分析师,"['企业软件', '分析师', '数据分析', '数据', 'BI']",10k-20k,1-3年
392732,上海,27962,技术,后端开发,硕士,数据服务,掌握核心技术 团队氛围好 成长快 平台好,数据安全开发工程师,"['数据', '安全']",15k以上,1-3年
